key,label,definitionUuid,catalogCategory,catalogPath,effectiveCategory,effectivePath,source,targets,stages,secondaryCategories,review
mix_components,Component Mix,sgrape.builtin.mix_components,math,math,math,math,glsl,"top,mat","vertex,pixel",,
step_scalar,Scalar Edge Step,sgrape.builtin.step_scalar,math,math,math,math,glsl,"top,mat","vertex,pixel",,
bit_and,Bit And,sgrape.builtin.bit_and,math,math,math,math,glsl,"top,mat","vertex,pixel",,
bit_or,Bit Or,sgrape.builtin.bit_or,math,math,math,math,glsl,"top,mat","vertex,pixel",,
bit_xor,Bit Xor,sgrape.builtin.bit_xor,math,math,math,math,glsl,"top,mat","vertex,pixel",,
bit_not,Bit Not,sgrape.builtin.bit_not,math,math,math,math,glsl,"top,mat","vertex,pixel",,
shift_left,Shift Left,sgrape.builtin.shift_left,math,math,math,math,glsl,"top,mat","vertex,pixel",,
shift_right,Shift Right,sgrape.builtin.shift_right,math,math,math,math,glsl,"top,mat","vertex,pixel",,
remainder,Remainder,sgrape.builtin.remainder,math,math,math,math,glsl,"top,mat","vertex,pixel",,
boolean_and,Boolean And,sgrape.builtin.boolean_and,math,math,math,math,glsl,"top,mat","vertex,pixel",,
boolean_or,Boolean Or,sgrape.builtin.boolean_or,math,math,math,math,glsl,"top,mat","vertex,pixel",,
boolean_xor,Boolean Xor,sgrape.builtin.boolean_xor,math,math,math,math,glsl,"top,mat","vertex,pixel",,
boolean_not,Boolean Not,sgrape.builtin.boolean_not,math,math,math,math,glsl,"top,mat","vertex,pixel",,
floatBitsToInt,floatBitsToInt,sgrape.builtin.floatBitsToInt,math,math,math,math,glsl,"top,mat","vertex,pixel",,
floatBitsToUint,floatBitsToUint,sgrape.builtin.floatBitsToUint,math,math,math,math,glsl,"top,mat","vertex,pixel",,
intBitsToFloat,intBitsToFloat,sgrape.builtin.intBitsToFloat,math,math,math,math,glsl,"top,mat","vertex,pixel",,
uintBitsToFloat,uintBitsToFloat,sgrape.builtin.uintBitsToFloat,math,math,math,math,glsl,"top,mat","vertex,pixel",,
packUnorm2x16,packUnorm2x16,sgrape.builtin.packUnorm2x16,math,math,math,math,glsl,"top,mat","vertex,pixel",,
packSnorm2x16,packSnorm2x16,sgrape.builtin.packSnorm2x16,math,math,math,math,glsl,"top,mat","vertex,pixel",,
packHalf2x16,packHalf2x16,sgrape.builtin.packHalf2x16,math,math,math,math,glsl,"top,mat","vertex,pixel",,
packUnorm4x8,packUnorm4x8,sgrape.builtin.packUnorm4x8,math,math,math,math,glsl,"top,mat","vertex,pixel",,
packSnorm4x8,packSnorm4x8,sgrape.builtin.packSnorm4x8,math,math,math,math,glsl,"top,mat","vertex,pixel",,
unpackUnorm2x16,unpackUnorm2x16,sgrape.builtin.unpackUnorm2x16,math,math,math,math,glsl,"top,mat","vertex,pixel",,
unpackSnorm2x16,unpackSnorm2x16,sgrape.builtin.unpackSnorm2x16,math,math,math,math,glsl,"top,mat","vertex,pixel",,
unpackHalf2x16,unpackHalf2x16,sgrape.builtin.unpackHalf2x16,math,math,math,math,glsl,"top,mat","vertex,pixel",,
unpackUnorm4x8,unpackUnorm4x8,sgrape.builtin.unpackUnorm4x8,math,math,math,math,glsl,"top,mat","vertex,pixel",,
unpackSnorm4x8,unpackSnorm4x8,sgrape.builtin.unpackSnorm4x8,math,math,math,math,glsl,"top,mat","vertex,pixel",,
packDouble2x32,packDouble2x32,sgrape.builtin.packDouble2x32,math,math,math,math,glsl,"top,mat","vertex,pixel",,
unpackDouble2x32,unpackDouble2x32,sgrape.builtin.unpackDouble2x32,math,math,math,math,glsl,"top,mat","vertex,pixel",,
distance,distance,sgrape.builtin.distance,math,math,math,math,glsl,"top,mat","vertex,pixel",,
cross,cross,sgrape.builtin.cross,math,math,math,math,glsl,"top,mat","vertex,pixel",,
faceforward,faceforward,sgrape.builtin.faceforward,math,math,math,math,glsl,"top,mat","vertex,pixel",,
reflect,reflect,sgrape.builtin.reflect,math,math,math,math,glsl,"top,mat","vertex,pixel",,
refract,refract,sgrape.builtin.refract,math,math,math,math,glsl,"top,mat","vertex,pixel",,
lessThan,lessThan,sgrape.builtin.lessThan,logic,logic,logic,logic,glsl,"top,mat","vertex,pixel",,
lessThanEqual,lessThanEqual,sgrape.builtin.lessThanEqual,logic,logic,logic,logic,glsl,"top,mat","vertex,pixel",,
greaterThan,greaterThan,sgrape.builtin.greaterThan,logic,logic,logic,logic,glsl,"top,mat","vertex,pixel",,
greaterThanEqual,greaterThanEqual,sgrape.builtin.greaterThanEqual,logic,logic,logic,logic,glsl,"top,mat","vertex,pixel",,
equal,equal,sgrape.builtin.equal,logic,logic,logic,logic,glsl,"top,mat","vertex,pixel",,
notEqual,notEqual,sgrape.builtin.notEqual,logic,logic,logic,logic,glsl,"top,mat","vertex,pixel",,
any,any,sgrape.builtin.any,logic,logic,logic,logic,glsl,"top,mat","vertex,pixel",,
all,all,sgrape.builtin.all,logic,logic,logic,logic,glsl,"top,mat","vertex,pixel",,
not,not,sgrape.builtin.not,logic,logic,logic,logic,glsl,"top,mat","vertex,pixel",,
bitfieldReverse,bitfieldReverse,sgrape.builtin.bitfieldReverse,math,math,math,math,glsl,"top,mat","vertex,pixel",,
bitCount,bitCount,sgrape.builtin.bitCount,math,math,math,math,glsl,"top,mat","vertex,pixel",,
findLSB,findLSB,sgrape.builtin.findLSB,math,math,math,math,glsl,"top,mat","vertex,pixel",,
findMSB,findMSB,sgrape.builtin.findMSB,math,math,math,math,glsl,"top,mat","vertex,pixel",,
bitfieldExtract,bitfieldExtract,sgrape.builtin.bitfieldExtract,math,math,math,math,glsl,"top,mat","vertex,pixel",,
bitfieldInsert,bitfieldInsert,sgrape.builtin.bitfieldInsert,math,math,math,math,glsl,"top,mat","vertex,pixel",,
uaddCarry,uaddCarry,sgrape.builtin.uaddCarry,math,math,math,math,glsl,"top,mat","vertex,pixel",,
usubBorrow,usubBorrow,sgrape.builtin.usubBorrow,math,math,math,math,glsl,"top,mat","vertex,pixel",,
umulExtended,umulExtended,sgrape.builtin.umulExtended,math,math,math,math,glsl,"top,mat","vertex,pixel",,
imulExtended,imulExtended,sgrape.builtin.imulExtended,math,math,math,math,glsl,"top,mat","vertex,pixel",,
dFdx,dFdx,sgrape.builtin.dFdx,math,math,math,math,glsl,"top,mat",pixel,,
dFdy,dFdy,sgrape.builtin.dFdy,math,math,math,math,glsl,"top,mat",pixel,,
fwidth,fwidth,sgrape.builtin.fwidth,math,math,math,math,glsl,"top,mat",pixel,,
dFdxFine,dFdxFine,sgrape.builtin.dFdxFine,math,math,math,math,glsl,"top,mat",pixel,,
dFdyFine,dFdyFine,sgrape.builtin.dFdyFine,math,math,math,math,glsl,"top,mat",pixel,,
fwidthFine,fwidthFine,sgrape.builtin.fwidthFine,math,math,math,math,glsl,"top,mat",pixel,,
dFdxCoarse,dFdxCoarse,sgrape.builtin.dFdxCoarse,math,math,math,math,glsl,"top,mat",pixel,,
dFdyCoarse,dFdyCoarse,sgrape.builtin.dFdyCoarse,math,math,math,math,glsl,"top,mat",pixel,,
fwidthCoarse,fwidthCoarse,sgrape.builtin.fwidthCoarse,math,math,math,math,glsl,"top,mat",pixel,,
td_average,TDAverage,sgrape.builtin.td_average,math,math,math,math,td,"top,mat","vertex,pixel",,
td_rotate_to_vector,TDRotateToVector,sgrape.builtin.td_rotate_to_vector,matrix,matrix,matrix,matrix,td,"top,mat","vertex,pixel",,
td_rotate_on_axis,TDRotateOnAxis,sgrape.builtin.td_rotate_on_axis,matrix,matrix,matrix,matrix,td,"top,mat","vertex,pixel",,
td_rotate_x,TDRotateX,sgrape.builtin.td_rotate_x,matrix,matrix,matrix,matrix,td,"top,mat","vertex,pixel",,
td_rotate_y,TDRotateY,sgrape.builtin.td_rotate_y,matrix,matrix,matrix,matrix,td,"top,mat","vertex,pixel",,
td_rotate_z,TDRotateZ,sgrape.builtin.td_rotate_z,matrix,matrix,matrix,matrix,td,"top,mat","vertex,pixel",,
td_scale,TDScale,sgrape.builtin.td_scale,matrix,matrix,matrix,matrix,td,"top,mat","vertex,pixel",,
td_translate,TDTranslate,sgrape.builtin.td_translate,matrix,matrix,matrix,matrix,td,"top,mat","vertex,pixel",,
td_create_rot_matrix,TDCreateRotMatrix,sgrape.builtin.td_create_rot_matrix,matrix,matrix,matrix,matrix,td,"top,mat","vertex,pixel",,
td_create_tbn_matrix,TDCreateTBNMatrix,sgrape.builtin.td_create_tbn_matrix,matrix,matrix,matrix,matrix,td,"top,mat","vertex,pixel",,
td_fade,TDFade,sgrape.builtin.td_fade,math,math,math,math,td,"top,mat","vertex,pixel",,
td_fade_deriv,TDFadeDeriv,sgrape.builtin.td_fade_deriv,math,math,math,math,td,"top,mat","vertex,pixel",,
td_sine_lookup,TDSineLookup,sgrape.builtin.td_sine_lookup,math,math,math,math,td,"top,mat","vertex,pixel",,
td_perlin_noise_deriv,TDPerlinNoiseDeriv,sgrape.builtin.td_perlin_noise_deriv,math,math,math,math,td,"top,mat","vertex,pixel",,
td_perlin_noise_deriv_noise,TDPerlinNoiseDeriv,sgrape.builtin.td_perlin_noise_deriv_noise,math,math,math,math,td,"top,mat","vertex,pixel",,
td_simplex_noise_deriv,TDSimplexNoiseDeriv,sgrape.builtin.td_simplex_noise_deriv,math,math,math,math,td,"top,mat","vertex,pixel",,
td_simplex_noise_deriv_noise,TDSimplexNoiseDeriv,sgrape.builtin.td_simplex_noise_deriv_noise,math,math,math,math,td,"top,mat","vertex,pixel",,
td_luminance,TDLuminance,sgrape.builtin.td_luminance,color,color,color,color,td,"top,mat","vertex,pixel",,
td_gamut_rec709torec2020,TDGamutRec709ToRec2020,sgrape.builtin.td_gamut_rec709torec2020,color,color,color,color,td,mat,pixel,,
td_gamut_rec2020torec709,TDGamutRec2020ToRec709,sgrape.builtin.td_gamut_rec2020torec709,color,color,color,color,td,mat,pixel,,
td_transfer_lineartosrgb,TDTransferLinearToSRGB,sgrape.builtin.td_transfer_lineartosrgb,color,color,color,color,td,mat,pixel,,
td_transfer_srgbtolinear,TDTransferSRGBToLinear,sgrape.builtin.td_transfer_srgbtolinear,color,color,color,color,td,mat,pixel,,
td_transfer_lineartorec709,TDTransferLinearToRec709,sgrape.builtin.td_transfer_lineartorec709,color,color,color,color,td,mat,pixel,,
td_transfer_rec709tolinear,TDTransferRec709ToLinear,sgrape.builtin.td_transfer_rec709tolinear,color,color,color,color,td,mat,pixel,,
td_transfer_lineartogamma1_8,TDTransferLinearToGamma1_8,sgrape.builtin.td_transfer_lineartogamma1_8,color,color,color,color,td,mat,pixel,,
td_transfer_gamma1_8tolinear,TDTransferGamma1_8ToLinear,sgrape.builtin.td_transfer_gamma1_8tolinear,color,color,color,color,td,mat,pixel,,
td_transfer_lineartogamma2_2,TDTransferLinearToGamma2_2,sgrape.builtin.td_transfer_lineartogamma2_2,color,color,color,color,td,mat,pixel,,
td_transfer_gamma2_2tolinear,TDTransferGamma2_2ToLinear,sgrape.builtin.td_transfer_gamma2_2tolinear,color,color,color,color,td,mat,pixel,,
td_transfer_lineartogamma2_4,TDTransferLinearToGamma2_4,sgrape.builtin.td_transfer_lineartogamma2_4,color,color,color,color,td,mat,pixel,,
td_transfer_gamma2_4tolinear,TDTransferGamma2_4ToLinear,sgrape.builtin.td_transfer_gamma2_4tolinear,color,color,color,color,td,mat,pixel,,
td_transfer_lineartogamma2_6,TDTransferLinearToGamma2_6,sgrape.builtin.td_transfer_lineartogamma2_6,color,color,color,color,td,mat,pixel,,
td_transfer_gamma2_6tolinear,TDTransferGamma2_6ToLinear,sgrape.builtin.td_transfer_gamma2_6tolinear,color,color,color,color,td,mat,pixel,,
td_transfer_lineartogamma2_8,TDTransferLinearToGamma2_8,sgrape.builtin.td_transfer_lineartogamma2_8,color,color,color,color,td,mat,pixel,,
td_transfer_gamma2_8tolinear,TDTransferGamma2_8ToLinear,sgrape.builtin.td_transfer_gamma2_8tolinear,color,color,color,color,td,mat,pixel,,
td_transfer_lineartoacesproxy,TDTransferLinearToACESproxy,sgrape.builtin.td_transfer_lineartoacesproxy,color,color,color,color,td,mat,pixel,,
td_transfer_acesproxytolinear,TDTransferACESproxyToLinear,sgrape.builtin.td_transfer_acesproxytolinear,color,color,color,color,td,mat,pixel,,
td_transfer_lineartost2084pq,TDTransferLinearToST2084PQ,sgrape.builtin.td_transfer_lineartost2084pq,color,color,color,color,td,mat,pixel,,
td_transfer_st2084pqtolinear,TDTransferST2084PQToLinear,sgrape.builtin.td_transfer_st2084pqtolinear,color,color,color,color,td,mat,pixel,,
td_transfer_lineartobt2100hlg,TDTransferLinearToBT2100HLG,sgrape.builtin.td_transfer_lineartobt2100hlg,color,color,color,color,td,mat,pixel,,
td_transfer_bt2100hlgtolinear,TDTransferBT2100HLGToLinear,sgrape.builtin.td_transfer_bt2100hlgtolinear,color,color,color,color,td,mat,pixel,,
td_triplanar_blend,TDTriplanarBlend,sgrape.builtin.td_triplanar_blend,math,math,math,math,td,"top,mat","vertex,pixel",,
td_bicubic,TDBicubicInterpolation · sampler2D,sgrape.builtin.td_bicubic,math,math,math,math,td,"top,mat","vertex,pixel",,
td_bicubic_size,TDBicubicInterpolation · sampler2D · Size,sgrape.builtin.td_bicubic_size,math,math,math,math,td,"top,mat","vertex,pixel",,
td_tricubic,TDTricubicInterpolation · sampler3D,sgrape.builtin.td_tricubic,math,math,math,math,td,"top,mat","vertex,pixel",,
td_tricubic_size,TDTricubicInterpolation · sampler3D · Size,sgrape.builtin.td_tricubic_size,math,math,math,math,td,"top,mat","vertex,pixel",,
td_texgen_sphere,TDTexGenSphere,sgrape.builtin.td_texgen_sphere,math,math,math,math,td,"top,mat","vertex,pixel",,
td_equirectangular_to_cube,TDEquirectangularToCubeMap,sgrape.builtin.td_equirectangular_to_cube,math,math,math,math,td,"top,mat","vertex,pixel",,
td_cube_to_equirectangular,TDCubeMapToEquirectangular,sgrape.builtin.td_cube_to_equirectangular,math,math,math,math,td,"top,mat","vertex,pixel",,
td_deform_normal,TDDeformNorm,sgrape.builtin.td_deform_normal,math,math,math,math,td,mat,vertex,,
td_deform_vector,TDDeformVec,sgrape.builtin.td_deform_vector,math,math,math,math,td,mat,vertex,,
td_skinned_deform,TDSkinnedDeform,sgrape.builtin.td_skinned_deform,math,math,math,math,td,mat,vertex,,
td_skinned_vector,TDSkinnedDeformVec,sgrape.builtin.td_skinned_vector,math,math,math,math,td,mat,vertex,,
